سيرة وشمائل	0	0	0	1	1	2	2	2	2	129	129	141	146	149	160	162	165	168	169	169	170	170	170	174	174	174
شروح حديث	28	38	38	1	1	1	1	1	1	84	96	114	119	123	136	143	153	174	174	180	181	181	184	203	208	208
طلب علم	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
عقيدة	127	161	161	5	5	14	17	17	17	491	492	615	647	649	651	659	672	677	679	685	676	667	667	677	678	678
علل وسؤالات	20	20	20	0	0	1	1	1	1	62	62	62	62	63	62	64	64	65	66	67	67	67	67	67	67	67
علوم أخرى	21	21	21	0	0	0	0	0	0	43	43	47	44	44	44	44	44	45	45	45	45	45	45	45	45	45
علوم حديث	0	0	0	0	0	0	0	0	0	177	187	219	242	246	249	250	253	254	254	256	255	258	258	265	266	266
علوم قرآن	90	102	102	1	2	6	12	12	12	268	270	284	342	344	352	355	358	360	363	366	364	364	364	376	377	377
علوم لغة ومعاجم	78	81	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
غريب ومعاجم ولغة فقه	0	0	0	0	0	0	0	0	0	87	89	93	97	97	105	109	111	112	112	120	124	124	125	129	128	128
فتاوى	0	0	0	0	1	1	3	3	3	53	54	59	67	67	67	69	69	70	70	70	70	70	70	71	72	72
فرق وردود	0	0	0	0	0	0	0	0	0	0	0	0	36	37	40	43	66	69	70	70	71	71	71	75	79	79
فقه حنبلي	17	30	30	1	1	1	1	1	1	42	45	52	58	58	64	65	72	81	84	88	88	88	92	109	111	111
فقه حنفي	16	16	16	0	0	0	1	1	1	36	36	36	37	37	42	44	46	47	48	48	49	49	49	50	50	50
فقه شافعي	22	22	22	0	0	0	0	0	0	43	44	49	50	50	55	55	59	60	61	61	62	62	64	68	68	68
فقه عام	0	0	0	3	5	6	7	7	7	52	54	57	63	66	73	76	77	78	79	81	83	83	84	94	95	95
فقه عام وفتاوى	51	77	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
فقه مالكي	15	18	18	0	1	1	1	1	1	26	26	28	34	36	41	52	59	62	63	64	66	66	66	71	72	72
فهارس كتب	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
فهارس كتب وأدلة	0	0	0	0	0	0	0	0	0	67	69	69	68	68	68	69	70	72	73	75	75	75	75	86	86	86
فهارس كتب وأصول تحقيق	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
لغة	0	0	0	0	0	0	0	0	0	46	46	50	53	53	53	60	60	62	62	63	68	68	68	70	73	73
متون حديث	0	0	0	2	5	5	6	6	6	177	177	176	173	179	182	182	185	187	187	187	187	188	189	193	193	193
مجلات ودوريات	3	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
مجلات ودوريات ونحوها	0	0	0	5	5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
محاضرات مفرغة	5	38	38	0	0	0	0	0	0	35	36	59	61	61	61	61	62	62	62	62	61	61	61	61	61	61
مخطوطات حديثية	0	0	0	0	0	0	0	0	0	341	341	307	299	299	299	299	299	299	299	299	299	299	299	299	299	299
مسائل فقهية	52	58	58	0	0	4	8	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
مصطلح حديث	24	30	30	1	1	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
نحو وصرف	0	0	0	4	4	5	5	5	5	110	111	124	132	133	144	147	151	163	166	172	181	178	178	187	190	190
